case_id,ED,ET,NCR,TC,WT,model
UCSF-PDGM-0335,0.954190042850201,0.9698623341188143,0.9883764529433821,0.9906623505976095,0.9769773390868453,Fold_0
UCSF-PDGM-0356,0.9574289203502894,0.9493423985733392,0.9574906140244641,0.9786649364528072,0.9714190190060041,Fold_0
UCSF-PDGM-0358,0.9495529527340346,0.9513314967860422,0.8988845540963789,0.9279879685057946,0.9476969232525151,Fold_0
UCSF-PDGM-0360,0.9053229951648735,0.959189370254578,0.9916585495439653,0.9892619922200913,0.9684015542354363,Fold_0
UCSF-PDGM-0366,0.9382070963963131,0.9338668373879642,0.9926772023157565,0.9829952706253284,0.9678176660471486,Fold_0
UCSF-PDGM-0377,0.9306194211522857,0.9472177629924763,0.9826745868555327,0.9824421694954283,0.9667810708423389,Fold_0
UCSF-PDGM-0379,0.9245872191993985,0.9750980392156863,0.9780630484237894,0.9885336067866132,0.9490916696114986,Fold_0
UCSF-PDGM-0414,0.9342194394097508,0.9611091580242573,0.984764440499963,0.9812829065247953,0.9652577614468966,Fold_0
UCSF-PDGM-0478,0.9744078959437891,1.0,1.0,1.0,0.9744078959437891,Fold_0
UCSF-PDGM-0485,0.9298548246752255,0.0,0.0,0.0,0.9551117734724293,Fold_0
UCSF-PDGM-0497,0.9696446986031686,0.9472527472527472,0.9171270718232044,0.9526489338316113,0.9770294597284876,Fold_0
UCSF-PDGM-0503,0.9482474112630821,0.9790402485855833,0.9717964438994482,0.9833311036789297,0.959236574679421,Fold_0
UCSF-PDGM-0509,0.8901220364981616,0.9279910785407042,0.9615699100572364,0.9529680083831598,0.9267430722991049,Fold_0
UCSF-PDGM-0525,0.8939541744985605,0.770680194637126,0.5493361103879199,0.7678379622525702,0.8789961378621672,Fold_0
UCSF-PDGM-0529,0.6906582358070313,0.6155362306284452,0.5489189852517905,0.6761107627699442,0.9728826309506288,Fold_0
UCSF-PDGM-0532,0.9381022299715518,0.9467657449141187,0.9764449291166848,0.9872835030784279,0.9576328177538669,Fold_0
UCSF-PDGM-0536,0.8876320881083495,0.9448961839567339,0.9497753369945082,0.9606100504718016,0.933755282403566,Fold_0
UCSF-PDGM-0540,0.9687871817244388,1.0,1.0,1.0,0.9687871817244388,Fold_0
UCSF-PDGM-0004,0.9274473192851427,0.9565884044082414,0.971481383681014,0.9798290745484683,0.9724455880776242,Fold_1
UCSF-PDGM-0007,0.9523902269011363,0.9187141789185148,0.9148501810997695,0.9643315556359034,0.9609340806097919,Fold_1
UCSF-PDGM-0014,0.7606664212364981,0.8625103483410813,0.9006810442678774,0.9342886026987824,0.8130549125891955,Fold_1
UCSF-PDGM-0016,0.3991063268000406,0.8103918422460128,0.7751196172248804,0.9315213305769592,0.9239021719676153,Fold_1
UCSF-PDGM-0036,0.4634188229906114,0.7760817169746356,0.20481927710843373,0.7882808181315644,0.6102180487028489,Fold_1
UCSF-PDGM-0039,0.9648731617265769,0.9436722750548646,0.8260105448154658,0.9550630160799652,0.9679910349451184,Fold_1
UCSF-PDGM-0066,0.6065534561109782,0.8548972188633616,0.7195121951219512,0.8932893289328933,0.7397899649941657,Fold_1
UCSF-PDGM-0074,0.8216365161135737,0.9023571507617396,0.7820945945945946,0.9255690877633409,0.9213756108521036,Fold_1
UCSF-PDGM-0079,0.9551353573316108,0.9778409505065967,0.8898836168307968,0.9804439840694372,0.9779410370051907,Fold_1
